City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Uvarovka,RU,2022-01-24 00:26:06,55.5278,35.6061,0.03,100,98,2.55
133,Barra Do Bugres,BR,2022-01-24 00:26:06,-15.0725,-57.1811,79.09,78,55,3.53
134,Palmer,US,2022-01-24 00:26:06,42.1584,-72.3287,31.37,60,100,1.01
135,Bengkulu,ID,2022-01-24 00:24:16,-3.8004,102.2655,75.87,88,76,3.69
136,Auki,SB,2022-01-24 00:26:07,-8.7676,160.7034,83.8,79,99,6.98
137,Lebu,CL,2022-01-24 00:26:07,-37.6167,-73.65,60.89,85,0,8.93
138,Ugoofaaru,MV,2022-01-24 00:26:07,5.6667,73.0,81.36,60,100,10.92
139,Rawson,AR,2022-01-24 00:21:49,-43.3002,-65.1023,75.18,30,37,25.61
140,Tual,ID,2022-01-24 00:26:08,-5.6667,132.75,82.83,79,97,12.35
141,Yulara,AU,2022-01-24 00:26:08,-25.2406,130.9889,82.24,42,0,9.22
142,San Policarpo,PH,2022-01-24 00:26:08,12.1791,125.5072,79.36,90,100,12.73
143,Batagay-Alyta,RU,2022-01-24 00:27:09,67.8006,130.4114,-12.05,90,100,1.14
144,Maragogi,BR,2022-01-24 00:27:09,-9.0122,-35.2225,79.14,72,47,6.87
145,Paamiut,GL,2022-01-24 00:25:40,61.994,-49.6678,23.13,74,100,13.49
146,Hobyo,SO,2022-01-24 00:27:10,5.3505,48.5268,76.37,71,97,17.47
147,Bonavista,CA,2022-01-24 00:27:10,48.6499,-53.1147,27.12,78,91,16.26
148,Luanda,AO,2022-01-24 00:23:45,-8.8368,13.2343,74.1,86,38,8.43
149,Sioux Lookout,CA,2022-01-24 00:27:11,50.1001,-91.917,-3.62,77,100,3.44
150,Fairbanks,US,2022-01-24 00:25:52,64.8378,-147.7164,16.61,76,0,0.0
151,Yaan,NG,2022-01-24 00:27:12,7.3833,8.5667,78.75,16,2,6.93
152,Salalah,OM,2022-01-24 00:27:12,17.0151,54.0924,66.29,27,0,12.66
153,Ust-Nera,RU,2022-01-24 00:27:13,64.5667,143.2,-27.08,99,100,2.84
154,Coihaique,CL,2022-01-24 00:27:13,-45.5752,-72.0662,55.35,58,75,9.22
155,Mirnyy,RU,2022-01-24 00:27:14,62.5353,113.9611,-13.77,69,78,1.99
156,Kaitangata,NZ,2022-01-24 00:27:15,-46.2817,169.8464,55.92,69,56,8.25
157,Kosh-Agach,RU,2022-01-24 00:27:15,50.0,88.6667,-25.31,97,81,2.89
