City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
93,Vila Franca Do Campo,PT,2022-01-24 15:29:24,37.7167,-25.4333,65.19,65,40,5.57,scattered clouds
94,Lebu,CL,2022-01-24 15:29:25,-37.6167,-73.65,64.17,72,6,15.73,clear sky
95,Cabo San Lucas,MX,2022-01-24 15:29:25,22.8909,-109.9124,61.9,77,0,5.75,clear sky
96,Klaksvik,FO,2022-01-24 15:29:25,62.2266,-6.589,40.12,72,99,17.74,overcast clouds
97,Ndele,CF,2022-01-24 15:29:26,8.4109,20.6473,96.46,12,65,6.44,broken clouds
98,Provideniya,RU,2022-01-24 15:29:26,64.3833,-173.3,1.45,99,100,5.93,overcast clouds
99,Bethel,US,2022-01-24 15:29:26,41.3712,-73.414,28.76,68,40,1.01,scattered clouds
100,Chuy,UY,2022-01-24 15:29:27,-33.6971,-53.4616,83.98,64,38,5.26,scattered clouds
101,Vaini,TO,2022-01-24 15:29:27,-21.2,-175.2,75.36,100,20,3.44,few clouds
102,Tieling,CN,2022-01-24 15:29:27,42.2931,123.8414,12.6,77,41,0.51,scattered clouds
103,Ushuaia,AR,2022-01-24 15:29:28,-54.8,-68.3,51.42,66,75,13.8,light intensity drizzle
104,Acari,PE,2022-01-24 15:29:28,-15.4311,-74.6158,78.8,68,79,7.83,broken clouds
105,Sobolevo,RU,2022-01-24 15:29:28,54.4299,31.8996,4.73,99,11,1.74,few clouds
106,Saint-Francois,FR,2022-01-24 15:29:29,46.4154,3.9054,46.67,66,0,2.3,clear sky
107,Iqaluit,CA,2022-01-24 15:29:29,63.7506,-68.5145,-13.27,69,100,5.99,light snow
108,La Ronge,CA,2022-01-24 15:29:29,55.1001,-105.2842,-27.18,75,40,2.3,scattered clouds
109,Rodrigues Alves,BR,2022-01-24 15:29:29,-7.738,-72.6509,82.6,88,49,2.3,scattered clouds
110,Vestmannaeyjar,IS,2022-01-24 15:29:30,63.4427,-20.2734,40.19,75,75,10.36,broken clouds
111,Constitucion,CL,2022-01-24 15:29:30,-35.3333,-72.4167,70.11,59,2,13.53,clear sky
112,Kameyama,JP,2022-01-24 15:29:30,34.85,136.45,40.39,79,3,6.71,clear sky
113,Petropavlovsk-Kamchatskiy,RU,2022-01-24 15:29:31,53.0452,158.6483,0.19,66,40,6.71,scattered clouds
114,Tessalit,ML,2022-01-24 15:29:31,20.1986,1.0114,77.49,9,48,12.77,scattered clouds
115,Kodiak,US,2022-01-24 15:29:31,57.79,-152.4072,42.31,81,100,12.66,overcast clouds
116,Georgetown,MY,2022-01-24 15:24:40,5.4112,100.3354,83.95,88,20,2.3,few clouds
117,Forbes,AU,2022-01-24 15:29:32,-33.3833,148.0167,73.92,58,78,6.85,broken clouds
118,Praya,CV,2022-01-24 15:29:09,14.9215,-23.5087,81.14,54,20,23.02,few clouds
119,Deniliquin,AU,2022-01-24 15:29:32,-35.5333,144.9667,76.75,40,100,7.25,overcast clouds
120,Arraial Do Cabo,BR,2022-01-24 15:29:32,-22.9661,-42.0278,87.76,65,0,20.71,clear sky
121,Villefranche-Sur-Saone,FR,2022-01-24 15:29:33,45.9833,4.7167,46.02,71,0,1.16,clear sky
122,Norman Wells,CA,2022-01-24 15:29:33,65.282,-126.8329,6.84,85,100,10.36,light snow
123,Hithadhoo,MV,2022-01-24 15:29:33,-0.6,73.0833,82.15,69,96,12.88,overcast clouds
124,Seymchan,RU,2022-01-24 15:29:34,62.8833,152.4333,-38.45,100,100,0.96,overcast clouds
125,Lorengau,PG,2022-01-24 15:29:34,-2.0226,147.2712,81.07,76,23,5.01,few clouds
126,Narsaq,GL,2022-01-24 15:29:34,60.9167,-46.05,30.42,81,100,3.8,overcast clouds
127,Severo-Yeniseyskiy,RU,2022-01-24 15:29:35,60.3725,93.0408,-1.5,99,100,2.93,overcast clouds
128,Husavik,IS,2022-01-24 15:29:35,66.0449,-17.3389,31.91,81,32,10.54,scattered clouds
129,Saskylakh,RU,2022-01-24 15:29:35,71.9167,114.0833,-12.53,96,96,4.52,overcast clouds
130,Necochea,AR,2022-01-24 15:29:36,-38.5473,-58.7368,80.04,46,0,11.32,clear sky
131,Cayenne,GF,2022-01-24 15:29:36,4.9333,-52.3333,75.24,91,100,5.01,fog
132,Mar Del Plata,AR,2022-01-24 15:29:36,-38.0023,-57.5575,86.02,54,40,12.66,scattered clouds
133,Shymkent,KZ,2022-01-24 15:29:36,42.3,69.6,30.79,93,0,2.24,mist
134,Lompoc,US,2022-01-24 15:29:37,34.6391,-120.4579,54.12,75,0,10.36,clear sky
135,Ancud,CL,2022-01-24 15:30:37,-41.8697,-73.8203,64.42,70,55,5.95,broken clouds
136,Teguise,ES,2022-01-24 15:30:37,29.0605,-13.564,64.62,77,40,4.61,scattered clouds
137,Makakilo City,US,2022-01-24 15:30:38,21.3469,-158.0858,71.92,70,100,4.61,overcast clouds
138,Aklavik,CA,2022-01-24 15:30:38,68.2191,-135.0107,12.92,85,75,11.5,broken clouds
139,Mao,ES,2022-01-24 15:30:39,39.8885,4.2658,55.96,67,20,11.5,few clouds
140,Bredasdorp,ZA,2022-01-24 15:30:39,-34.5322,20.0403,75.27,69,4,16.11,clear sky
141,Nouadhibou,MR,2022-01-24 15:30:39,20.931,-17.0347,75.18,64,20,10.36,few clouds
142,Hit,IQ,2022-01-24 15:30:26,33.6416,42.8251,55.2,32,30,9.04,scattered clouds
143,Coihaique,CL,2022-01-24 15:30:40,-45.5752,-72.0662,63.21,55,40,12.66,scattered clouds
144,Katsuura,JP,2022-01-24 15:30:40,35.1333,140.3,39.31,61,4,14.43,clear sky
145,Naryan-Mar,RU,2022-01-24 15:30:40,67.6713,53.087,18.54,93,100,23.8,light snow
146,Isiolo,KE,2022-01-24 15:30:40,0.3546,37.5822,73.8,49,65,6.82,broken clouds
147,Iquitos,PE,2022-01-24 15:30:41,-3.7481,-73.2472,80.64,78,75,1.14,broken clouds
148,Guerrero Negro,MX,2022-01-24 15:27:17,27.9769,-114.0611,58.03,67,0,8.46,clear sky
149,Meulaboh,ID,2022-01-24 15:30:41,4.1363,96.1285,76.78,85,67,2.66,broken clouds
150,Sitrah,BH,2022-01-24 15:30:42,26.1547,50.6206,66.36,48,0,4.61,clear sky
151,Nome,US,2022-01-24 15:30:42,64.5011,-165.4064,24.87,86,100,13.8,light snow
152,Lovozero,RU,2022-01-24 15:30:43,68.005,35.0117,28.13,89,100,5.26,light snow
153,Avera,US,2022-01-24 15:30:43,33.194,-82.5271,46.9,52,0,8.86,clear sky
154,Bonavista,CA,2022-01-24 15:30:43,48.6499,-53.1147,34.12,82,99,19.66,overcast clouds
155,Port Hedland,AU,2022-01-24 15:30:43,-20.3167,118.5667,86.05,84,32,9.22,scattered clouds
156,Doha,QA,2022-01-24 15:27:33,25.2867,51.5333,68.31,50,0,4.61,clear sky
157,Salo,IT,2022-01-24 15:30:44,45.6086,10.531,50.83,81,8,2.59,clear sky
158,Broome,US,2022-01-24 15:30:44,42.2506,-75.833,17.8,71,0,1.99,haze
159,Deputatskiy,RU,2022-01-24 15:30:44,69.3,139.9,-15.59,97,100,3.87,overcast clouds
160,Fukue,JP,2022-01-24 15:30:45,32.6881,128.8419,51.3,62,95,20.36,overcast clouds
161,Geraldton,AU,2022-01-24 15:30:45,-28.7667,114.6,73.81,64,1,14.97,clear sky
162,Longyearbyen,SJ,2022-01-24 15:30:46,78.2186,15.6401,17.44,73,75,17.27,light snow
163,Teknaf,BD,2022-01-24 15:30:47,20.8624,92.3058,69.71,67,98,4.16,overcast clouds
164,Pawa,PH,2022-01-24 15:30:47,13.1747,123.7328,76.01,90,85,8.7,overcast clouds
165,Suhbaatar,MN,2022-01-24 15:30:47,50.2314,106.2078,-2.96,100,97,2.3,overcast clouds
